ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
11,2026-05-16T15:36:01.068858+00:00,instagram,ISL,16.633,29.005,16.633,1.0,0.0,28.583,40.38,0.5855,0.4145,0,1.0,0.0,0.0,0.32,0.381,-0.02796,-0.07621,0,1.0,0.0,0.0,1.218,0.3704,0.06676,0.16573,2,0.0,0.0,1.0,2.8,0.6667,-0.01997,-0.03041,4.338,32.921,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.69,0.0,0.231,0.231,2.887,0.286,0.286
12,2026-05-16T15:36:07.080187+00:00,instagram,ISL,12.421,28.865,12.421,1.0,0.0,24.371,40.24,0.6228,0.3772,0,1.0,0.0,0.0,0.312,0.381,-0.02878,-0.07855,0,1.0,0.0,0.0,0.696,0.3704,0.01457,0.0386,2,0.0,0.0,1.0,3.969,0.6667,0.09693,0.13575,4.977,29.349,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.479,0.0,0.87,0.87,2.887,1.156,1.156
13,2026-05-16T15:36:13.087104+00:00,instagram,GND,33.598,33.728,33.728,0.0,1.0,45.548,45.103,0.4975,0.5025,0,1.0,0.0,0.0,0.093,0.2286,-0.0257,-0.11928,0,1.0,0.0,0.0,0.228,0.1786,-0.0102,-0.05881,0,1.0,0.0,0.0,0.208,0.1857,-0.00421,-0.02292,0.529,45.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.048,0.0,0.0,0.0,2.887,1.156,1.156
14,2026-05-16T15:36:19.091373+00:00,instagram,GND,34.3,21.599,21.599,0.0,1.0,46.25,32.974,0.4162,0.5838,0,1.0,0.0,0.0,0.333,0.2286,-0.00167,-0.00731,0,1.0,0.0,0.0,0.24,0.1786,-0.00901,-0.0518,0,1.0,0.0,0.0,0.252,0.1857,0.00023,0.00125,0.826,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.919,0.0,0.0,0.0,2.887,1.156,1.156
15,2026-05-16T15:36:25.099313+00:00,instagram,ISL,21.508,36.405,21.508,1.0,0.0,33.458,47.78,0.5882,0.4118,0,1.0,0.0,0.0,0.981,0.381,0.03815,0.09543,0,1.0,0.0,0.0,0.694,0.3704,0.01437,0.03806,2,0.0,0.0,1.0,2.85,0.6667,-0.01499,-0.02274,4.525,37.983,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.565,0.0,0.418,0.418,2.887,1.574,1.574
16,2026-05-16T15:36:31.107314+00:00,instagram,GND,43.34,36.317,36.317,0.0,1.0,55.29,47.692,0.4631,0.5369,0,1.0,0.0,0.0,0.137,0.2286,-0.02126,-0.09762,0,1.0,0.0,0.0,0.27,0.1786,-0.00598,-0.03409,0,1.0,0.0,0.0,0.097,0.1857,-0.01532,-0.08607,0.504,48.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.636,0.0,0.0,0.0,2.887,1.574,1.574
17,2026-05-16T15:36:37.118057+00:00,instagram,ISL,15.587,25.845,15.587,1.0,0.0,27.537,37.22,0.5748,0.4252,0,1.0,0.0,0.0,0.315,0.381,-0.02851,-0.07779,0,1.0,0.0,0.0,0.271,0.3704,-0.02786,-0.07819,2,0.0,0.0,1.0,2.105,0.6667,-0.08946,-0.14409,2.692,30.228,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.644,0.0,0.0,0.0,2.887,1.574,1.574
18,2026-05-16T15:36:43.124499+00:00,instagram,ISL,22.796,27.898,22.796,1.0,0.0,34.746,39.273,0.5306,0.4694,0,1.0,0.0,0.0,1.418,0.381,0.08183,0.19458,0,1.0,0.0,0.0,0.567,0.3704,0.00175,0.0047,2,0.0,0.0,1.0,2.24,0.6667,-0.07602,-0.12107,4.226,38.972,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.854,0.0,0.118,0.118,2.887,1.692,1.692
19,2026-05-16T15:36:49.129098+00:00,instagram,GND,31.534,29.46,29.46,0.0,1.0,43.484,40.835,0.4843,0.5157,0,1.0,0.0,0.0,0.221,0.2286,-0.01291,-0.05813,0,1.0,0.0,0.0,0.15,0.1786,-0.01796,-0.10598,0,1.0,0.0,0.0,0.065,0.1857,-0.01851,-0.10502,0.436,41.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.779,0.0,0.0,0.0,2.887,1.692,1.692
20,2026-05-16T15:36:55.142414+00:00,instagram,GND,36.245,21.607,21.607,0.0,1.0,48.195,32.982,0.4063,0.5937,0,1.0,0.0,0.0,0.59,0.2286,0.02404,0.10002,0,1.0,0.0,0.0,0.245,0.1786,-0.00851,-0.04885,0,1.0,0.0,0.0,0.364,0.1857,0.01143,0.05974,1.2,34.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.926,0.0,0.255,0.255,2.887,1.947,1.947
