ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
11,2026-05-16T15:36:01.068542+00:00,instagram,ISL,16.633,29.005,16.633,0.5,0.5,28.583,40.38,0.5855,0.4145,1,0.3333,0.3333,0.3333,1.044,0.1778,0.04439,0.07995,0,0.3333,0.3333,0.3333,0.841,0.1235,0.02914,0.07573,2,0.3333,0.3333,0.3333,0.32,0.2222,-0.26796,-0.51406,2.206,30.789,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.69,0.0,0.0,0.0,86.233,4.056,81.229
12,2026-05-16T15:36:07.079919+00:00,instagram,GND,12.421,28.865,28.865,0.5,0.5,24.371,40.24,0.6228,0.3772,1,0.3333,0.3333,0.3333,0.367,0.1088,0.00168,0.00512,2,0.3333,0.3333,0.3333,0.291,0.1361,-0.0039,-0.00959,0,0.3333,0.3333,0.3333,0.111,0.0619,-0.01389,-0.07776,0.769,41.009,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.479,15.868,0.0,12.53,102.101,4.056,93.759
13,2026-05-16T15:36:13.086595+00:00,instagram,ISL,33.598,33.728,33.598,0.5,0.5,45.548,45.103,0.4975,0.5025,1,0.3333,0.3333,0.3333,0.291,0.1778,-0.0309,-0.05968,1,0.3333,0.3333,0.3333,0.765,0.1587,0.02155,0.04425,2,0.3333,0.3333,0.3333,6.037,0.2222,0.3037,0.37538,7.093,52.642,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.048,0.445,2.986,6.594,102.546,7.042,100.353
14,2026-05-16T15:36:19.091117+00:00,instagram,ISL,34.3,21.599,34.3,0.5,0.5,46.25,32.974,0.4162,0.5838,0,0.3333,0.3333,0.3333,0.178,0.127,-0.04223,-0.11748,0,0.3333,0.3333,0.3333,0.208,0.1235,-0.0342,-0.09689,0,0.3333,0.3333,0.3333,1.632,0.3704,-0.13675,-0.13134,2.018,48.268,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.919,13.276,0.0,14.349,115.822,7.042,114.702
15,2026-05-16T15:36:25.098511+00:00,instagram,GND,21.508,36.405,36.405,0.5,0.5,33.458,47.78,0.5882,0.4118,0,0.3333,0.3333,0.3333,0.329,0.0762,-0.00206,-0.00906,0,0.3333,0.3333,0.3333,0.221,0.0595,-0.01091,-0.06302,0,0.3333,0.3333,0.3333,0.1,0.0619,-0.01496,-0.084,0.651,48.431,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.565,14.323,0.0,10.866,130.144,7.042,125.568
16,2026-05-16T15:36:31.107050+00:00,instagram,ISL,43.34,36.317,43.34,0.5,0.5,55.29,47.692,0.4631,0.5369,0,0.3333,0.3333,0.3333,0.1,0.127,-0.04997,-0.14062,1,0.3333,0.3333,0.3333,0.29,0.1587,-0.02595,-0.05604,1,0.3333,0.3333,0.3333,2.289,0.3951,-0.0711,-0.06187,2.68,57.969,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.636,7.598,0.0,9.333,137.742,7.042,134.901
17,2026-05-16T15:36:37.117419+00:00,instagram,ISL,15.587,25.845,15.587,0.5,0.5,27.537,37.22,0.5748,0.4252,0,0.3333,0.3333,0.3333,0.555,0.127,-0.00454,-0.01199,0,0.3333,0.3333,0.3333,0.071,0.1235,-0.04791,-0.13852,1,0.3333,0.3333,0.3333,3.098,0.3951,0.00977,0.00821,3.723,31.26,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.644,0.0,0.0,0.0,137.742,7.042,134.901
18,2026-05-16T15:36:43.124239+00:00,instagram,ISL,22.796,27.898,22.796,0.5,0.5,34.746,39.273,0.5306,0.4694,0,0.3333,0.3333,0.3333,0.211,0.127,-0.03894,-0.10782,2,0.3333,0.3333,0.3333,0.26,0.202,-0.02904,-0.0491,0,0.3333,0.3333,0.3333,0.894,0.3704,-0.21057,-0.21011,1.365,36.111,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.854,0.0,0.0,0.0,137.742,7.042,134.901
19,2026-05-16T15:36:49.128591+00:00,instagram,GND,31.534,29.46,29.46,0.5,0.5,43.484,40.835,0.4843,0.5157,1,0.3333,0.3333,0.3333,0.283,0.1088,-0.00671,-0.02076,2,0.3333,0.3333,0.3333,0.852,0.1361,0.05223,0.12042,2,0.3333,0.3333,0.3333,0.44,0.1088,0.01897,0.05647,1.575,42.41,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.779,0.0,0.63,0.63,137.742,7.672,135.531
20,2026-05-16T15:36:55.142127+00:00,instagram,ISL,36.245,21.607,36.245,0.5,0.5,48.195,32.982,0.4063,0.5937,2,0.3333,0.3333,0.3333,0.351,0.2222,-0.02487,-0.03802,1,0.3333,0.3333,0.3333,0.229,0.1587,-0.03208,-0.06974,0,0.3333,0.3333,0.3333,1.642,0.3704,-0.13581,-0.13037,2.222,50.417,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.926,15.213,0.0,16.491,152.955,7.672,152.022
