timestamp,seq,msg_id,prop_delay_ms,isl_ms
2026-05-07T08:33:38.910771+00:00,103,0x01,0.945,0.945
2026-05-07T08:33:39.221972+00:00,105,0x01,0.945,0.945
2026-05-07T08:33:39.537929+00:00,109,0x01,0.945,0.945
2026-05-07T08:33:39.854306+00:00,111,0x01,0.945,0.945
2026-05-07T08:33:40.710201+00:00,108,0x01,0.969,0.969
2026-05-07T08:33:41.025259+00:00,109,0x01,0.969,0.969
2026-05-07T08:33:41.342803+00:00,113,0x01,0.969,0.969
2026-05-07T08:33:41.658869+00:00,115,0x01,0.969,0.969
2026-05-07T08:33:41.981966+00:00,118,0x01,0.969,0.969
2026-05-07T08:33:42.297525+00:00,121,0x01,0.997,0.997
2026-05-07T08:33:42.927160+00:00,128,0x01,0.997,0.997
2026-05-07T08:33:44.179436+00:00,171,0x01,1.024,1.024
2026-05-07T08:33:44.490022+00:00,174,0x01,1.024,1.024
2026-05-07T08:33:44.802744+00:00,177,0x01,1.024,1.024
2026-05-07T08:33:45.115156+00:00,180,0x01,1.024,1.024
2026-05-07T08:33:45.748456+00:00,186,0x01,1.024,1.024
2026-05-07T08:33:46.058336+00:00,190,0x01,1.024,1.024
2026-05-07T08:33:46.372699+00:00,193,0x01,1.052,1.052
2026-05-07T08:33:46.653339+00:00,195,0x01,1.052,1.052
2026-05-07T08:33:47.220059+00:00,185,0x01,1.052,1.052
2026-05-07T08:33:47.534155+00:00,187,0x01,1.052,1.052
2026-05-07T08:33:48.158523+00:00,193,0x01,1.052,1.052
2026-05-07T08:33:48.523597+00:00,195,0x01,1.081,1.081
2026-05-07T08:33:48.905306+00:00,199,0x01,1.081,1.081
2026-05-07T08:33:49.256018+00:00,202,0x01,1.081,1.081
2026-05-07T08:33:49.599000+00:00,204,0x01,1.081,1.081
2026-05-07T08:33:49.896402+00:00,207,0x01,1.081,1.081
2026-05-07T08:33:50.916558+00:00,11,0x01,1.105,1.105
2026-05-07T08:33:51.540848+00:00,18,0x01,1.105,1.105
2026-05-07T08:33:51.853762+00:00,20,0x01,1.105,1.105
2026-05-07T08:33:52.165634+00:00,23,0x01,1.105,1.105
2026-05-07T08:33:53.106716+00:00,32,0x01,1.133,1.133
2026-05-07T08:33:53.398730+00:00,35,0x01,1.133,1.133
2026-05-07T08:33:54.369927+00:00,68,0x01,1.16,1.16
2026-05-07T08:33:54.987425+00:00,75,0x01,1.16,1.16
2026-05-07T08:33:55.620371+00:00,81,0x01,1.16,1.16
2026-05-07T08:33:56.241124+00:00,87,0x01,1.188,1.188
2026-05-07T08:33:56.550945+00:00,90,0x01,1.188,1.188
2026-05-07T08:34:07.303528+00:00,235,0x01,1.323,1.323
2026-05-07T08:34:07.937428+00:00,240,0x01,1.323,1.323
2026-05-07T08:34:08.566546+00:00,247,0x01,1.353,1.353
2026-05-07T08:34:09.192516+00:00,252,0x01,1.353,1.353
2026-05-07T08:34:09.802305+00:00,2,0x01,1.353,1.353
2026-05-07T08:34:10.684036+00:00,252,0x01,1.378,1.378
2026-05-07T08:34:10.996960+00:00,255,0x01,1.378,1.378
2026-05-07T08:34:11.310228+00:00,2,0x01,1.378,1.378
2026-05-07T08:34:11.623006+00:00,6,0x01,1.378,1.378
2026-05-07T08:34:11.937954+00:00,8,0x01,1.378,1.378
2026-05-07T08:34:12.274722+00:00,11,0x01,1.404,1.404
2026-05-07T08:34:12.872609+00:00,17,0x01,1.404,1.404
2026-05-07T08:34:14.164839+00:00,61,0x01,1.404,1.404
2026-05-07T08:34:14.793258+00:00,67,0x01,1.432,1.432
2026-05-07T08:34:15.106280+00:00,70,0x01,1.432,1.432
2026-05-07T08:34:15.738060+00:00,76,0x01,1.432,1.432
2026-05-07T08:34:16.054272+00:00,80,0x01,1.432,1.432
2026-05-07T08:34:16.342993+00:00,82,0x01,1.459,1.459
2026-05-07T08:34:46.550110+00:00,1,0x01,1.869,1.869
2026-05-07T08:34:47.189079+00:00,6,0x01,1.869,1.869
2026-05-07T08:34:48.185445+00:00,16,0x01,1.869,1.869
2026-05-07T08:34:48.506669+00:00,18,0x01,1.896,1.896
2026-05-07T08:34:48.822586+00:00,21,0x01,1.896,1.896
2026-05-07T08:34:50.089575+00:00,70,0x01,1.896,1.896
2026-05-07T08:34:50.723182+00:00,76,0x01,1.925,1.925
2026-05-07T08:34:51.039286+00:00,79,0x01,1.925,1.925
2026-05-07T08:34:51.687214+00:00,85,0x01,1.925,1.925
2026-05-07T08:34:52.001948+00:00,87,0x01,1.925,1.925
2026-05-07T08:34:52.317441+00:00,91,0x01,1.95,1.95
2026-05-07T08:34:53.167134+00:00,87,0x01,1.95,1.95
2026-05-07T08:34:53.485749+00:00,89,0x01,1.95,1.95
2026-05-07T08:34:54.428599+00:00,98,0x01,1.976,1.976
2026-05-07T08:34:54.744408+00:00,101,0x01,1.976,1.976
2026-05-07T08:34:55.384239+00:00,108,0x01,1.976,1.976
2026-05-07T08:34:55.680906+00:00,110,0x01,1.976,1.976
2026-05-07T08:34:56.961021+00:00,155,0x01,2.005,2.005
2026-05-07T08:34:57.275240+00:00,158,0x01,2.005,2.005
2026-05-07T08:34:57.590769+00:00,160,0x01,2.005,2.005
2026-05-07T08:34:58.221564+00:00,167,0x01,2.005,2.005
2026-05-07T08:34:58.551516+00:00,169,0x01,2.033,2.033
2026-05-07T08:35:00.020436+00:00,169,0x01,2.033,2.033
2026-05-07T08:35:00.336581+00:00,171,0x01,2.062,2.062
2026-05-07T08:35:00.654608+00:00,174,0x01,2.062,2.062
2026-05-07T08:35:00.968549+00:00,178,0x01,2.062,2.062
2026-05-07T08:35:01.284477+00:00,180,0x01,2.062,2.062
2026-05-07T08:35:01.603126+00:00,183,0x01,2.062,2.062
2026-05-07T08:35:03.195873+00:00,230,0x01,2.087,2.087
2026-05-07T08:35:03.509412+00:00,233,0x01,2.087,2.087
2026-05-07T08:35:03.825175+00:00,235,0x01,2.087,2.087
2026-05-07T08:35:04.449577+00:00,242,0x01,2.112,2.112
2026-05-07T08:35:04.766785+00:00,245,0x01,2.112,2.112
2026-05-07T08:35:05.084189+00:00,247,0x01,2.112,2.112
2026-05-07T08:35:05.398837+00:00,251,0x01,2.112,2.112
2026-05-07T08:35:05.679602+00:00,252,0x01,2.112,2.112
2026-05-07T08:35:06.248534+00:00,245,0x01,2.112,2.112
2026-05-07T08:35:06.570619+00:00,247,0x01,2.142,2.142
2026-05-07T08:35:07.515029+00:00,1,0x01,2.142,2.142
2026-05-07T08:35:08.147676+00:00,6,0x01,2.142,2.142
2026-05-07T08:35:08.770662+00:00,12,0x01,2.169,2.169
2026-05-07T08:35:10.083380+00:00,58,0x01,2.169,2.169
2026-05-07T08:35:10.404834+00:00,61,0x01,2.198,2.198
2026-05-07T08:35:11.039404+00:00,68,0x01,2.198,2.198
2026-05-07T08:35:11.363202+00:00,70,0x01,2.198,2.198
2026-05-07T08:35:11.680792+00:00,73,0x01,2.198,2.198
2026-05-07T08:35:12.901019+00:00,73,0x01,2.225,2.225
