ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
11,2026-05-12T21:07:21.476471+00:00,mixed,ISL,14.148,22.979,14.148,0.5,0.5,20.548,31.34,0.604,0.396,0.6875,0.402,0,0.5,0.5,0.0,0.55,0.4267,-0.09502,-0.19621,0,0.3333,0.3333,0.3333,0.471,0.3333,-0.0529,-0.13578,0,0.5,0.5,0.0,1.056,0.5333,-0.09444,-0.15275,2.076,22.624,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,23.187,0.0,0.0,0.0,34.807,29.723,58.528
12,2026-05-12T21:07:31.457070+00:00,mixed,GND,11.735,20.884,20.884,0.5,0.5,18.447,29.317,0.6138,0.3862,0.702,0.4071,1,0.3333,0.3333,0.3333,0.133,0.3048,-0.03666,-0.10118,2,0.3333,0.3333,0.3333,0.485,0.381,0.01848,0.03808,2,0.3333,0.3333,0.3333,0.423,0.3429,0.00228,0.00531,1.041,30.358,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,21.086,10.87,0.402,9.272,45.677,30.126,67.8
13,2026-05-12T21:07:41.477620+00:00,mixed,GND,10.803,20.43,20.43,0.5,0.5,17.846,28.936,0.6185,0.3815,0.716,0.4122,2,0.3333,0.3333,0.3333,1.934,0.6095,0.14338,0.17242,0,0.3333,0.3333,0.3333,0.33,0.1429,0.00301,0.01673,2,0.3333,0.3333,0.3333,0.708,0.3429,0.03076,0.06931,2.971,31.907,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,20.485,11.09,2.333,11.423,56.767,32.459,79.223
14,2026-05-12T21:07:51.480241+00:00,mixed,ISL,8.89,20.583,8.89,0.5,0.5,16.285,29.163,0.6417,0.3583,0.7295,0.4172,0,0.5,0.5,0.0,1.169,0.4267,-0.03312,-0.06412,1,0.3333,0.3333,0.3333,2.214,0.4444,0.12141,0.19765,0,0.5,0.5,0.0,2.002,0.5333,0.00018,0.00027,5.385,21.67,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.0,0.3333,0.3333,0.3333,0.5,0.5,0.0,18.924,0.0,2.745,2.745,56.767,35.204,81.968
15,2026-05-12T21:08:01.491121+00:00,gaming,ISL,20.237,24.118,20.237,0.5,0.5,28.003,32.772,0.5392,0.4608,0.7425,0.4223,1,0.3333,0.3333,0.3333,0.401,0.3048,-0.10988,-0.15574,1,0.3333,0.3333,0.3333,0.519,0.2222,-0.04814,-0.09063,0,0.3333,0.3333,0.3333,0.246,0.1741,-0.17545,-0.51609,1.165,29.169,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,29.64,0.0,0.0,0.0,56.767,35.204,81.968
16,2026-05-12T21:08:11.509675+00:00,gaming,GND,10.886,22.259,22.259,0.5,0.5,19.043,30.989,0.6194,0.3806,0.7548,0.4273,0,0.3333,0.3333,0.3333,0.157,0.0914,-0.03426,-0.16238,0,0.3333,0.3333,0.3333,0.271,0.0714,-0.00294,-0.0166,2,0.3333,0.3333,0.3333,0.275,0.1119,-0.01246,-0.04556,0.703,31.693,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,20.68,11.946,0.161,11.013,68.713,35.365,92.981
17,2026-05-12T21:08:21.516613+00:00,gaming,GND,15.316,25.797,25.797,0.5,0.5,23.882,34.603,0.5917,0.4083,0.7665,0.4322,2,0.3333,0.3333,0.3333,1.853,0.3048,0.1353,0.16347,0,0.3333,0.3333,0.3333,0.03,0.0714,-0.02697,-0.16372,0,0.3333,0.3333,0.3333,0.035,0.0448,-0.0365,-0.39471,1.918,36.521,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,25.518,10.721,1.376,11.003,79.434,36.74,103.984
18,2026-05-12T21:08:31.532627+00:00,gaming,GND,13.332,23.566,23.566,0.5,0.5,22.324,32.449,0.5924,0.4076,0.7776,0.4371,0,0.3333,0.3333,0.3333,0.302,0.0914,-0.01977,-0.09045,0,0.3333,0.3333,0.3333,0.176,0.0714,-0.01236,-0.07174,1,0.3333,0.3333,0.3333,0.179,0.0746,-0.02205,-0.12585,0.658,33.107,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,23.96,10.125,0.115,9.147,89.559,36.856,113.131
19,2026-05-12T21:08:41.542439+00:00,gaming,GND,11.316,23.002,23.002,0.5,0.5,20.747,31.963,0.6064,0.3936,0.7879,0.442,0,0.3333,0.3333,0.3333,0.33,0.0914,-0.01697,-0.07716,2,0.3333,0.3333,0.3333,0.784,0.1905,0.0484,0.0968,0,0.3333,0.3333,0.3333,0.133,0.0448,-0.02671,-0.27269,1.247,33.21,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,22.384,11.215,0.704,10.826,100.774,37.56,123.957
20,2026-05-12T21:08:51.549400+00:00,gaming,ISL,17.047,26.075,17.047,0.5,0.5,26.927,35.115,0.566,0.434,0.7976,0.4469,2,0.3333,0.3333,0.3333,5.336,0.5333,0.38363,0.25287,0,0.3333,0.3333,0.3333,0.459,0.1667,-0.05414,-0.13919,0,0.3333,0.3333,0.3333,0.797,0.1741,-0.12026,-0.32345,6.592,33.519,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,28.563,0.0,4.956,4.956,100.774,42.516,128.913
